Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/06/26,521.07,7.14,530.20,482.80,482.80,"38,660","19,743,067.90"
2,2025/06/25,486.35,-2,496.00,480.20,486.40,"25,179","12,206,353.60"
3,2025/06/24,496.29,0.82,508.00,492.00,501.90,"8,606","4,272,364.30"
4,2025/06/23,492.26,-0.99,504.00,487.30,488.00,"10,440","5,151,151.30"
5,2025/06/22,497.20,0.16,504.00,488.30,488.40,"16,502","8,193,016.20"
6,2025/06/19,496.40,-2.5,510.00,495.00,510.00,"30,349","15,126,198.20"
7,2025/06/18,509.15,-2.15,525.00,508.00,520.00,"36,251","18,608,086.70"
8,2025/06/17,520.32,-1.86,539.90,518.50,531.00,"14,453","7,566,979.00"
9,2025/06/16,530.18,-0.55,542.00,529.50,530.00,"29,863","15,931,069.80"
10,2025/06/15,533.13,-2.29,556.10,531.00,547.00,"25,700","13,763,339.30"
11,2025/06/12,545.65,1.11,565.00,536.10,536.10,"31,410","17,292,426.70"
12,2025/06/11,539.67,-0.02,549.60,528.00,540.00,"32,450","17,424,973.80"
13,2025/06/10,539.79,-0.69,554.40,532.70,554.10,"21,736","11,778,559.10"
14,2025/06/09,543.54,2.24,550.00,521.90,521.90,"31,238","16,853,120.60"
15,2025/06/08,531.64,-1.9,560.00,528.00,535.00,"30,453","16,298,947.70"
16,2025/06/05,541.93,-2.28,558.90,541.00,551.10,"42,660","23,402,032.00"
17,2025/06/04,554.57,-0.63,567.00,551.10,560.00,"23,522","13,038,703.80"
18,2025/06/03,558.09,-2.37,578.90,556.10,575.00,"19,773","11,075,683.90"
19,2025/06/02,571.64,1.83,576.20,560.00,560.00,"31,569","17,965,283.50"
20,2025/05/28,561.34,-0.57,570.00,558.00,560.00,"18,920","10,611,939.40"
21,2025/05/27,564.53,0.42,572.00,555.00,560.00,"34,737","19,504,866.40"
22,2025/05/26,562.17,-0.77,577.80,556.40,577.80,"47,083","26,497,644.10"
23,2025/05/25,566.55,-2.38,586.70,565.00,575.20,"31,752","18,137,083.40"
24,2025/05/22,580.36,-3.51,612.80,576.00,612.80,"46,135","27,334,695.40"
25,2025/05/21,601.46,-1.42,633.00,600.00,622.30,"72,439","44,464,034.40"
26,2025/05/20,610.13,-0.03,619.00,600.10,605.10,"16,476","10,072,366.20"
27,2025/05/19,610.33,1.16,640.00,599.00,603.00,"31,947","19,538,356.10"
28,2025/05/18,603.36,-0.45,615.00,595.00,606.00,"48,211","29,193,562.40"
29,2025/05/15,606.08,-1.45,615.00,594.00,603.00,"39,967","24,142,166.40"
30,2025/05/14,615.01,-2.3,630.00,609.00,617.20,"74,364","45,945,880.50"
31,2025/05/13,629.48,-1.91,649.00,615.00,641.00,"55,117","34,897,999.50"
32,2025/05/11,641.72,1.06,647.00,628.10,635.20,"74,609","47,593,705.80"
33,2025/05/08,634.98,5.13,640.00,590.00,616.00,"137,449","85,656,031.50"
34,2025/05/07,603.99,9.98,604.00,545.00,547.50,"118,746","68,421,424.30"
35,2025/05/06,549.18,0.21,559.00,547.80,554.00,"21,034","11,585,657.50"
36,2025/05/05,548.03,-0.53,551.00,541.10,550.00,"14,981","8,188,177.60"
37,2025/05/04,550.95,0.24,565.00,546.00,546.00,"11,639","6,439,546.00"
38,2025/04/30,549.63,-1.19,578.00,547.10,567.00,"33,165","18,351,288.10"
39,2025/04/29,556.24,0.54,564.30,548.00,564.00,"17,433","9,681,974.50"
40,2025/04/28,553.26,-2.41,579.00,550.00,567.00,"25,509","14,273,272.90"
41,2025/04/27,566.92,-1.07,580.00,565.50,576.30,"16,650","9,475,426.40"
42,2025/04/24,573.05,-1.42,589.00,570.00,571.30,"20,514","11,782,682.30"
43,2025/04/23,581.30,-3.15,607.00,574.30,605.00,"30,472","17,794,496.00"
44,2025/04/22,600.18,-1.98,615.00,599.10,615.00,"34,871","21,058,341.40"
45,2025/04/21,612.32,0.29,615.00,604.00,604.00,"65,217","39,870,386.30"
46,2025/04/20,610.56,-1.7,617.00,600.00,608.80,"51,558","31,313,758.60"
47,2025/04/17,621.09,0.75,627.00,606.00,606.00,"43,207","26,813,756.90"
48,2025/04/16,616.47,1.27,619.00,597.00,600.00,"78,009","48,006,133.50"
49,2025/04/15,608.74,4.81,611.00,570.30,570.30,"86,301","52,014,170.60"
50,2025/04/13,580.79,0.17,589.00,571.50,576.00,"27,351","15,845,449.00"
51,2025/04/10,579.79,-0.39,592.00,575.00,575.00,"42,402","24,634,788.00"
52,2025/04/09,582.05,-0.31,601.00,572.20,572.20,"35,570","20,830,983.20"
53,2025/04/08,583.85,-0.81,599.00,567.00,595.00,"41,849","24,186,940.10"
54,2025/04/07,588.64,-3.53,605.00,586.10,600.00,"25,360","15,144,403.00"
55,2025/04/03,610.21,1.86,614.90,592.00,600.00,"67,502","41,017,471.70"
56,2025/04/02,599.04,2.46,601.00,576.00,587.00,"57,754","34,318,346.00"
57,2025/04/01,584.67,0.68,590.00,573.30,580.00,"74,161","43,236,873.70"
58,2025/03/30,580.73,-0.33,599.00,562.10,571.00,"37,897","22,268,380.60"
59,2025/03/27,582.64,0.88,589.00,564.00,570.00,"22,304","12,939,018.00"
60,2025/03/26,577.57,3.21,578.50,548.50,569.00,"55,421","31,761,854.00"
61,2025/03/25,559.61,-5.13,580.00,558.00,580.00,"24,077","13,728,280.20"
62,2025/03/24,589.86,1.65,593.00,571.59,591.80,"20,819","12,243,038.40"
63,2025/03/23,580.27,-3.24,611.70,580.00,599.00,"42,739","25,172,714.80"
64,2025/03/20,599.71,-1.22,618.00,595.00,607.00,"17,979","10,789,501.00"
65,2025/03/19,607.10,-2.24,624.90,607.00,616.10,"51,700","31,809,473.90"
66,2025/03/18,621.00,-1.27,654.30,620.00,641.50,"18,933","11,912,700.50"
67,2025/03/17,629.00,-1.41,676.00,628.50,648.90,"56,316","36,321,586.50"
68,2025/03/16,638.00,-7.33,674.80,630.00,674.80,"52,608","33,942,229.80"
69,2025/03/12,688.50,9.79,688.50,615.00,627.10,"185,243","118,527,352.10"
70,2025/03/11,627.10,0.5,659.00,616.50,634.00,"94,211","59,710,200.20"
71,2025/03/10,624.00,-2.33,651.60,620.10,651.60,"39,537","24,906,214.50"
72,2025/03/09,638.90,-1.24,659.70,623.40,647.00,"47,962","30,609,192.80"
73,2025/03/06,646.90,-1.25,667.90,646.90,658.00,"112,732","73,884,970.20"
74,2025/03/05,655.10,0.8,662.00,648.90,662.00,"116,269","76,253,423.80"
75,2025/03/04,649.90,-0.93,669.00,643.00,655.00,"45,951","29,908,684.90"
76,2025/03/03,656.00,2.01,680.30,641.00,645.00,"90,488","59,447,800.20"
77,2025/03/02,643.10,-1.97,660.00,640.00,646.50,"80,510","52,232,557.20"
78,2025/02/27,656.00,-1.8,680.00,651.70,680.00,"61,469","40,358,586.40"
79,2025/02/25,668.00,1.8,707.00,641.70,668.00,"157,075","104,112,436.90"
80,2025/02/24,656.20,-3.56,680.00,655.00,680.00,"144,189","95,879,666.30"
81,2025/02/23,680.40,-6.02,709.60,679.90,709.60,"282,581","195,130,242.60"
82,2025/02/20,724.00,-2.9,730.70,693.10,730.70,"234,359","166,953,782.70"
83,2025/02/18,745.60,9.65,745.60,667.00,680.00,"421,383","290,395,283.60"
84,2025/02/17,680.00,-3.02,687.20,668.00,687.20,"225,228","151,544,433.60"
85,2025/02/16,701.20,7.91,701.20,636.90,636.90,"255,340","168,356,604.20"
86,2025/02/13,649.80,1.37,679.30,641.30,648.00,"152,893","99,174,229.30"
87,2025/02/12,641.00,4.06,654.00,620.00,620.00,"259,601","166,027,912.30"
88,2025/02/11,616.00,4.02,637.00,582.00,592.00,"254,250","154,830,587.00"
89,2025/02/10,592.20,-2.6,613.00,590.90,601.00,"97,777","58,179,616.60"
90,2025/02/09,608.00,1.33,625.00,603.00,612.00,"173,943","106,699,028.00"
91,2025/02/06,600.00,0,621.00,590.00,597.00,"166,475","100,017,172.60"
92,2025/02/05,600.00,-0.17,615.00,595.00,595.00,"143,256","86,847,503.60"
93,2025/02/04,601.00,4.7,606.00,566.00,585.40,"320,453","190,225,472.00"
94,2025/02/03,574.00,-0.86,590.50,563.60,590.50,"79,154","45,421,691.50"
95,2025/02/02,579.00,-0.86,599.90,577.10,590.00,"116,177","68,047,719.50"
96,2025/01/28,584.00,1.55,594.00,576.10,586.60,"74,641","43,303,222.60"
97,2025/01/27,575.10,0.19,591.00,574.00,580.00,"72,025","41,920,029.00"
98,2025/01/26,574.00,0.35,590.00,570.00,583.00,"82,930","48,005,236.70"
99,2025/01/23,572.00,-2.17,596.30,566.00,596.30,"73,607","42,167,351.30"
100,2025/01/22,584.70,1.51,587.50,572.00,587.50,"88,342","51,054,563.30"
101,2025/01/21,576.00,-3.21,592.00,575.00,586.00,"109,427","63,532,127.60"
102,2025/01/20,595.10,-2.28,618.00,593.00,601.00,"118,250","71,168,053.00"
103,2025/01/19,609.00,3.57,609.00,581.00,581.00,"214,848","129,277,118.70"
104,2025/01/16,588.00,-1.18,601.00,581.00,601.00,"123,309","72,688,761.50"
105,2025/01/15,595.00,6.82,601.00,559.00,568.00,"305,421","180,495,804.20"
