Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/06/26,249.64,1.2,258.90,248.00,248.00,"315,903","79,984,798.80"
2,2025/06/25,246.69,-0.58,251.80,244.00,251.80,"121,820","30,050,743.70"
3,2025/06/24,248.14,-0.66,254.60,247.20,252.60,"146,261","36,614,479.70"
4,2025/06/23,249.80,1.74,251.00,243.40,249.20,"127,755","31,764,214.00"
5,2025/06/22,245.52,-4.09,256.90,245.00,255.00,"204,271","50,895,139.30"
6,2025/06/19,256.00,-0.78,262.00,255.00,260.50,"403,195","104,405,691.30"
7,2025/06/18,258.01,1.31,261.00,255.00,256.00,"233,786","60,376,877.40"
8,2025/06/17,254.67,-0.6,259.00,252.80,252.80,"146,521","37,423,243.80"
9,2025/06/16,256.22,0.75,267.00,250.20,259.00,"493,551","128,676,271.20"
10,2025/06/15,254.31,-1.71,263.90,252.00,263.90,"294,654","75,035,242.70"
11,2025/06/12,258.74,-3.51,267.60,258.00,263.10,"730,309","191,737,850.30"
12,2025/06/11,268.15,0.71,271.00,262.10,271.00,"269,861","71,941,045.90"
13,2025/06/10,266.27,-0.53,274.10,262.80,272.00,"552,098","148,228,621.30"
14,2025/06/09,267.69,9.01,269.00,240.70,240.70,"782,887","204,695,272.80"
15,2025/06/08,245.56,1.02,247.80,241.20,245.00,"150,792","36,847,339.70"
16,2025/06/05,243.09,1.58,246.00,239.00,244.00,"139,398","33,709,828.50"
17,2025/06/04,239.30,-0.98,245.70,238.00,244.00,"148,646","35,659,533.10"
18,2025/06/03,241.67,-1.55,249.00,240.60,249.00,"139,717","33,999,472.50"
19,2025/06/02,245.47,-0.76,253.00,244.10,252.20,"178,896","44,529,370.00"
20,2025/05/28,247.34,1.08,249.40,241.00,245.00,"178,693","43,720,742.00"
21,2025/05/27,244.69,-0.59,249.50,241.40,243.00,"163,111","39,948,802.20"
22,2025/05/26,246.14,-1.5,258.00,245.00,254.80,"251,044","62,528,260.40"
23,2025/05/25,249.89,-0.92,255.00,246.30,255.00,"169,221","42,178,909.90"
24,2025/05/22,252.22,-2.77,264.50,250.20,264.50,"199,657","50,828,148.70"
25,2025/05/21,259.40,-2.43,280.00,257.00,271.10,"255,516","67,781,315.40"
26,2025/05/20,265.87,1.43,268.70,255.10,265.00,"294,366","77,524,896.60"
